"tweet id","username","text"
"1.097106471115E+18","cesargleyton","O filme Marighella tende a ser tão verdadeiro quanto ao filme: Lula,  o Filho do Brasil. Condenado ao boicote da #DireitaUnida e consequente Fracasso! https://t.co/ChEItaQAJS"
"1.398654718357E+18","aguedescartoon","BRIGADA MARIGHELLA https://t.co/a49XGfEtVN"
"1.3613696094971E+18","aguedescartoon","Fiz um curso de produção musical em 2015. O professor era um comunista nível PCO e eu estava com minha veia antipetista pré-minion pulsando forte. O caldo entornou quando ele começou a falar bem de Marighella. Toda aula tinha debate, e eram todos contra mim. Um inferno."
"1.354869933835E+18","aguedescartoon","@cotore Poorrraaa o motoristão do marighella, quem diria que eu sentiria saudade dele"
"1.0970038807753E+18","aguedescartoon","@elysonalves Óbvio! Marighella era terrorista!"
"1.0970035170914E+18","aguedescartoon","O cara tá comparando Marielle e Marighella! https://t.co/TXB42HWJwe"
"1.0386494372105E+18","aguedescartoon","@freire_roberto @FabioRicardoGon @alexbuhr @augustodefranco @jairbolsonaro Se tivesse exaltado Marighella ou Che Guevara (como aconteceu naquela noite) o senhor não chamaria de anti-democrático."
"1.0968121303372E+18","crisspaiva","Marighella, pro UOL, ""não foi um monstro, apenas um ser humano truculento capaz de cometer assassinatos e violências variadas. Acima de tudo, fiel aos seus princípios. Um humanista.""

Fascista sou eu, amiguinho.
Assassino do lado certo é humanista que chama, né?

Bando de fdp. https://t.co/BollvEWCHn"
"1.0979105715828E+18","heitorfreirece","Wagner Moura: de herói à vergonha nacional. Uma análise sobre o filme vergonhoso sobre “Marighella” https://t.co/MQYZLYUJZv"
"1.423334989782E+18","carteiroreaca","Estão noticiando que a Justiça liberou o Galo do Lula, autor no atentado contra o monumento ao Borba Gato. Se está liberado incendiar monumentos e ficar por isso mesmo, vou pessoalmente com uma picareta retirar o monumento em homenagem a Carlos Marighella."
"1.3290386232877E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.280196870393E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.2633184229449E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.2497588649139E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.2192287430651E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.2166908434379E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.1871052339122E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.1775937295674E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.1772870652115E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.1672231557793E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.1344762337885E+18","danielpmerj","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.1871107273893E+18","aruthcao","@danielPMERJ's account has been withheld in Brazil in response to a legal demand. Learn more."
"1.1595759682998E+18","aruthcao","@danieltpjf @folha_poder 🇧🇷 Exatamente!! Enaltecer Marighella, Che Guevara, Stalin!!!"
"1.0975326363718E+18","aruthcao","@Gus_Moreira @0_marcia @macunaimaz @HumbertoReisJr @SPD_33 @PPReacaRN @tininhasouza191 @AraciPatriota @JesusOpressor1 @gio_divanna 🇧🇷 ""Marighella"" é um fracasso babaca!!! 😂😂😂😂😂"
"1.093932598081E+18","aruthcao","@PedroVillela17 @vania37144139 🇧🇷 Carlos Marighella, inimigo nº 1 do Brasil, no Regime Militar!!"
"1.0939317269366E+18","aruthcao","🇧🇷Esse é o verdadeiro TERRORISTA MARIGHELLA!!! No filme (pasmem!!), o personagem é interpretado por Seu Jorge!!! https://t.co/BG2evFBdvw"
"1.0938762507567E+18","aruthcao","🇧🇷Mas, que raios de ""licença poética"" é essa???? MARIGHELLA NÃO ERA NEGRO!!! Querem enganar o público!!! https://t.co/DHBWKreFEH"
"1.0933249780098E+18","aruthcao","@JornalOGlobo 🇧🇷Qual o problema??? Vocês divulgam MARIGHELLA, um assassino!!!"
"1.0732056876505E+18","aruthcao","@ATodicaky @RoseDBarros 🇧🇷 Aloysio Nunes, o motorista de Marighella!"
"1.068982138954E+18","aruthcao","@Princesa_Dahas @PinochetDaChina @OdinT707 @crixtal7 @CristinaResilie @Ezequiasns @AraciPatriota @Antonio20431788 @miguelitamarsil @EliahuGaona 🇧🇷Leiam essa matéria!!! O PACTO GLOBAL MIGRATÓRIO facilitará a invasão islâmica!!! O motorista de Marighella vai assinar essa praga!!!
BBC News Brasil - Estupradas, agredidas e vendidas: meninas relatam abusos nas mãos do EI https://t.co/Ivc4jGekMM"
"1.0212315164736E+18","aruthcao","🇧🇷O motorista de Marighella tá na boa!!! Por isso, a mulher não quis que ele entregasse o ministério!!! Ressocializando o dinheiro suado do povo!!! https://t.co/6ag8RDcU4s"
