tweet id,username,text
1.0175724628659e+18,clauwild1,"['lulaoficial', 'visitas', 'chiquérrimasum', 'exguerrilheiro', 'mr8', 'mentor', 'sequestro', 'embaixador', 'americano', 'outro', 'petista', 'carteirinha', 'exchanceler', 'providenciou', 'honroso', 'título', 'anão', 'diplomático', 'marighella', 'vivo', 'presença', 'cativa', 'pf', 'curitiba']"
1.0971090281011e+18,boni_z,"['exelente', 'domingão', 'todos', 'menos', 'wagner', 'moura', 'cara', 'quer', 'ressuscitar', 'branco', 'marighella', 'sendo', 'negro', 'meteram', 'dedo', 'dislayk', 'simbóra', 'tratorar', 'lixo', '']"
1.1675675795165e+18,cesargleyton,"['lucianohangs', 'account', 'has', 'been', 'withheld', 'in', 'brazil', 'worldwide', 'in', 'response', 'to', 'legal', 'demand', 'learn', 'more']"
1.097106471115e+18,cesargleyton,"['filme', 'marighella', 'tende', 'ser', 'tão', 'verdadeiro', 'quanto', 'filme', 'lula', 'filho', 'brasil', 'condenado', 'boicote', 'direitaunida', 'consequente', 'fracasso', '']"
1.398654718357e+18,aguedescartoon,"['brigada', 'marighella', '']"
1.3613696094971e+18,aguedescartoon,"['fiz', 'curso', 'produção', 'musical', '2015', 'professor', 'comunista', 'nível', 'pco', 'veia', 'antipetista', 'préminion', 'pulsando', 'forte', 'caldo', 'entornou', 'começou', 'falar', 'bem', 'marighella', 'toda', 'aula', 'debate', 'todos', 'contra', 'mim', 'inferno']"
1.354869933835e+18,aguedescartoon,"['cotore', 'poorrraaa', 'motoristão', 'marighella', 'diria', 'sentiria', 'saudade']"
1.0970038807753e+18,aguedescartoon,"['elysonalves', 'óbvio', 'marighella', 'terrorista']"
1.0970035170914e+18,aguedescartoon,"['cara', 'tá', 'comparando', 'marielle', 'marighella', '']"
1.0386494372105e+18,aguedescartoon,"['freireroberto', 'fabioricardogon', 'alexbuhr', 'augustodefranco', 'jairbolsonaro', 'exaltado', 'marighella', 'che', 'guevara', 'aconteceu', 'naquela', 'noite', 'senhor', 'chamaria', 'antidemocrático']"
1.0968121303372e+18,crisspaiva,"['marighella', 'pro', 'uol', 'monstro', 'apenas', 'ser', 'humano', 'truculento', 'capaz', 'cometer', 'assassinatos', 'violências', 'variadas', 'acima', 'tudo', 'fiel', 'princípios', 'humanista', 'fascista', 'amiguinho', 'assassino', 'lado', 'certo', 'humanista', 'chama', 'né', 'bando', 'fdp', '']"
1.0979105715828e+18,heitorfreirece,"['wagner', 'moura', 'herói', 'vergonha', 'nacional', 'análise', 'sobre', 'filme', 'vergonhoso', 'sobre', 'marighella', '']"
